company,company_score,rank_company,diff_user_company,rank_user_score
한국에스지에스,58.45,278.0,0.9600000000000009,54.0
하나머티리얼즈,58.48,277.0,0.9899999999999949,55.0
제이티비씨스튜디오,58.49,276.0,1.0,56.0
제니엘,58.49,276.0,1.0,56.0
키스템프그룹,58.52,275.0,1.0300000000000011,57.0
파트론,56.46,339.0,1.0300000000000011,57.0
경동나비엔,56.45,340.0,1.0399999999999991,58.0
영원무역,58.53,274.0,1.0399999999999991,58.0
슈프리마에이치큐,58.53,274.0,1.0399999999999991,58.0
휴넷,58.54,273.0,1.0499999999999972,59.0
영진약품,58.54,273.0,1.0499999999999972,59.0
두잉씨앤에스,58.55,272.0,1.0599999999999952,60.0
엔에이치엔위투,58.55,272.0,1.0599999999999952,60.0
한국산업기술시험원,58.6,271.0,1.1099999999999994,61.0
모트렉스,58.6,271.0,1.1099999999999994,61.0
코레일유통,56.37,341.0,1.1200000000000045,62.0
오티스엘리베이터,56.37,341.0,1.1200000000000045,62.0
한샘개발,58.63,270.0,1.1400000000000006,63.0
러쉬코리아,58.64,269.0,1.1499999999999986,64.0
에코마케팅,58.66,268.0,1.1699999999999946,65.0
더네이쳐홀딩스,58.66,268.0,1.1699999999999946,65.0
에이젝코리아,56.32,342.0,1.1700000000000017,66.0
콘텐츠웨이브,58.67,267.0,1.1799999999999997,67.0
우리홈쇼핑,58.68,266.0,1.1899999999999977,68.0
지에스아이티엠(GSITM),56.29,343.0,1.2000000000000028,69.0
칸타코리아,56.29,343.0,1.2000000000000028,69.0
태광산업,56.28,344.0,1.2100000000000009,70.0
비엔케이투자증권,56.27,345.0,1.2199999999999989,71.0
코엑스,56.27,345.0,1.2199999999999989,71.0
미성엠프로,56.26,346.0,1.230000000000004,72.0
이케이맨파워,56.26,346.0,1.230000000000004,72.0
본아이에프,58.73,265.0,1.2399999999999949,73.0
풍인무역,56.25,347.0,1.240000000000002,74.0
더핑크퐁컴퍼니,58.79,264.0,1.2999999999999972,75.0
메가스터디,56.19,348.0,1.3000000000000043,76.0
바디프랜드,58.8,263.0,1.3099999999999952,77.0
시몬스,58.81,262.0,1.3200000000000003,78.0
미래컴퍼니,56.17,349.0,1.3200000000000003,78.0
한국과학기술정보연구원,56.13,350.0,1.3599999999999994,79.0
텔레칩스,58.89,261.0,1.3999999999999986,80.0
이랜드리테일,58.89,261.0,1.3999999999999986,80.0
피에스케이홀딩스,58.89,261.0,1.3999999999999986,80.0
강원랜드,58.91,260.0,1.4199999999999946,81.0
섹타나인,56.06,351.0,1.4299999999999997,82.0
에이에스이코리아,56.06,351.0,1.4299999999999997,82.0
케이티디에스,58.94,259.0,1.4499999999999957,83.0
현대종합금속,56.04,352.0,1.4500000000000028,84.0
한화투자증권,58.96,258.0,1.4699999999999989,85.0
씨앤에스자산관리,56.01,353.0,1.480000000000004,86.0
미디어로그,58.98,257.0,1.4899999999999949,87.0
대구텍(유),59.01,256.0,1.519999999999996,88.0
다원시스,55.95,354.0,1.5399999999999991,89.0
파라다이스세가사미,59.04,255.0,1.5499999999999972,90.0
한국몰렉스,55.93,355.0,1.5600000000000023,91.0
유도,55.93,355.0,1.5600000000000023,91.0
롯데렌탈,55.92,356.0,1.5700000000000003,92.0
롯데손해보험,55.91,357.0,1.5800000000000054,93.0
이스트소프트,59.09,254.0,1.6000000000000014,94.0
드림어스컴퍼니,59.09,254.0,1.6000000000000014,94.0
태웅로직스,59.1,253.0,1.6099999999999994,95.0
엠즈씨드,59.1,253.0,1.6099999999999994,95.0
캐럿글로벌,55.88,358.0,1.6099999999999994,95.0
케이투코리아,55.88,358.0,1.6099999999999994,95.0
파르나스호텔,55.87,359.0,1.6200000000000045,96.0
명화공업,55.85,360.0,1.6400000000000006,97.0
세정,55.85,360.0,1.6400000000000006,97.0
웰컴저축은행,55.84,361.0,1.6499999999999986,98.0
케이지에프앤비,55.84,361.0,1.6499999999999986,98.0
엘브이엠에치코스메틱스(유),55.83,362.0,1.6600000000000037,99.0
메가존,55.82,363.0,1.6700000000000017,100.0
노루페인트,55.81,364.0,1.6799999999999997,101.0
충남대학교병원,55.78,365.0,1.7100000000000009,102.0
삼성메디슨,59.2,252.0,1.7100000000000009,102.0
엔에이치농협캐피탈,59.2,252.0,1.7100000000000009,102.0
동진쎄미켐,59.21,251.0,1.7199999999999989,103.0
해안종합건축사사무소,55.77,366.0,1.7199999999999989,103.0
예스이십사,59.22,250.0,1.7299999999999969,104.0
이디야,59.23,249.0,1.7399999999999949,105.0
제이에스티나,55.74,367.0,1.75,106.0
에드워드코리아,59.26,248.0,1.769999999999996,107.0
드림텍,55.71,368.0,1.7800000000000011,108.0
카카오브이엑스,55.7,369.0,1.7899999999999991,109.0
콘티넨탈오토모티브일렉트로닉스,59.28,247.0,1.7899999999999991,109.0
네이트커뮤니케이션즈,55.69,370.0,1.8000000000000043,110.0
풀무원,59.31,246.0,1.8200000000000003,111.0
SFA반도체,59.32,245.0,1.8299999999999983,112.0
파인스태프,59.32,245.0,1.8299999999999983,112.0
다날,59.34,244.0,1.8500000000000014,113.0
고려신용정보,55.63,371.0,1.8599999999999994,114.0
코오롱인더스트리,59.35,243.0,1.8599999999999994,114.0
AJ 네트웍스,55.63,371.0,1.8599999999999994,114.0
코리아써키트,55.62,372.0,1.8700000000000045,115.0
한국교육방송공사,59.38,242.0,1.8900000000000006,116.0
한글과컴퓨터,59.38,242.0,1.8900000000000006,116.0
아스타아이비에스,59.4,241.0,1.9099999999999966,117.0
자라리테일코리아,55.58,373.0,1.9100000000000037,118.0
코스트코코리아,59.43,240.0,1.9399999999999977,119.0
삼일회계법인,59.43,240.0,1.9399999999999977,119.0
서울반도체,55.54,374.0,1.9500000000000028,120.0
대한산업보건협회,55.53,375.0,1.9600000000000009,121.0
동보,55.52,376.0,1.9699999999999989,122.0
슈나이더일렉트릭코리아,55.52,376.0,1.9699999999999989,122.0
갤럭시아커뮤니케이션즈,55.52,376.0,1.9699999999999989,122.0
한국국제협력단,59.47,239.0,1.9799999999999969,123.0
덴티움,59.47,239.0,1.9799999999999969,123.0
메타엠,59.5,238.0,2.009999999999998,124.0
하시스,55.48,377.0,2.010000000000005,125.0
동양이엔피,55.48,377.0,2.010000000000005,125.0
에프알엘코리아,59.51,237.0,2.019999999999996,126.0
성도이엔지,55.46,378.0,2.030000000000001,127.0
차이커뮤니케이션,59.54,236.0,2.049999999999997,128.0
더블유스코프코리아,55.44,379.0,2.0500000000000043,129.0
마크로젠,55.44,379.0,2.0500000000000043,129.0
코스콤,55.43,380.0,2.0600000000000023,130.0
이스타항공,59.56,235.0,2.0700000000000003,131.0
쌍용정보통신,55.42,381.0,2.0700000000000003,131.0
액토즈소프트,55.41,382.0,2.0800000000000054,132.0
서울보증보험,55.36,383.0,2.1300000000000026,133.0
더블유컨셉코리아,59.63,234.0,2.1400000000000006,134.0
핑거,55.35,384.0,2.1400000000000006,134.0
아이스크림에듀,59.63,234.0,2.1400000000000006,134.0
제이티비씨,59.65,233.0,2.1599999999999966,135.0
삼성화재서비스손해사정,55.33,385.0,2.1600000000000037,136.0
에스제이더블유인터내셔널,55.31,386.0,2.1799999999999997,137.0
성신양회,55.31,386.0,2.1799999999999997,137.0
동명기술공단종합건축사사무소,55.31,386.0,2.1799999999999997,137.0
바나플,55.31,386.0,2.1799999999999997,137.0
버버리코리아,55.3,387.0,2.190000000000005,138.0
이화다이아몬드공업,55.3,387.0,2.190000000000005,138.0
고운세상코스메틱,59.69,232.0,2.1999999999999957,139.0
스템코,59.7,231.0,2.210000000000001,140.0
삼성전자판매,59.71,230.0,2.219999999999999,141.0
매일홀딩스,55.27,388.0,2.219999999999999,141.0
이오테크닉스,59.73,229.0,2.239999999999995,142.0
대원미디어,59.73,229.0,2.239999999999995,142.0
넥센타이어,59.73,229.0,2.239999999999995,142.0
에코프로,55.25,389.0,2.240000000000002,143.0
수성엔지니어링,55.24,390.0,2.25,144.0
씨제이메조미디어,59.76,228.0,2.269999999999996,145.0
NHN여행박사,55.21,391.0,2.280000000000001,146.0
위즈덤하우스,55.21,391.0,2.280000000000001,146.0
아이비케이시스템,55.2,392.0,2.289999999999999,147.0
조선호텔앤리조트 웨스틴조선서울,55.18,393.0,2.3100000000000023,148.0
에스제이지세종,55.17,394.0,2.3200000000000003,149.0
한국가스기술공사,59.81,227.0,2.3200000000000003,149.0
아이엠비씨,55.16,395.0,2.3300000000000054,150.0
이지케어텍,55.16,395.0,2.3300000000000054,150.0
엘에스증권(LS증권),59.83,226.0,2.3399999999999963,151.0
블루버드,55.15,396.0,2.3400000000000034,152.0
(재)서울문화재단,55.14,397.0,2.3500000000000014,153.0
에스엔패션그룹,55.12,398.0,2.3700000000000045,154.0
바이엘코리아,59.87,225.0,2.3799999999999955,155.0
폴라리스쉬핑,59.9,224.0,2.4099999999999966,156.0
도루코,59.94,223.0,2.4499999999999957,157.0
비에이치,55.04,399.0,2.450000000000003,158.0
악사손해보험,55.04,399.0,2.450000000000003,158.0
밀리의서재,59.97,222.0,2.479999999999997,159.0
대한해운,55.01,400.0,2.480000000000004,160.0
서울대학교병원,60.0,221.0,2.509999999999998,161.0
디엠씨미디어,54.98,401.0,2.510000000000005,162.0
이글루코퍼레이션,54.98,401.0,2.510000000000005,162.0
램리서치코리아,54.98,401.0,2.510000000000005,162.0
인트로맨,60.01,220.0,2.519999999999996,163.0
오케이저축은행,54.95,402.0,2.539999999999999,164.0
새마을금고중앙회,60.06,219.0,2.5700000000000003,165.0
뮬라,54.9,403.0,2.5900000000000034,166.0
웅진씽크빅,60.11,218.0,2.6199999999999974,167.0
한국오라클,54.87,404.0,2.6200000000000045,168.0
아시아나아이디티,54.87,404.0,2.6200000000000045,168.0
한국방송공사,60.13,217.0,2.6400000000000006,169.0
유베이스유니티,54.85,405.0,2.6400000000000006,169.0
NHN벅스,54.85,405.0,2.6400000000000006,169.0
디어유,54.84,406.0,2.6499999999999986,170.0
엠포스,54.83,407.0,2.6600000000000037,171.0
전북은행,54.83,407.0,2.6600000000000037,171.0
대동공업,60.17,216.0,2.6799999999999997,172.0
피죤,54.81,408.0,2.6799999999999997,172.0
레오버넷,54.8,409.0,2.690000000000005,173.0
케이티에스테이트,54.8,409.0,2.690000000000005,173.0
제이슨그룹,54.79,410.0,2.700000000000003,174.0
하이브랩,54.77,411.0,2.719999999999999,175.0
해성디에스,54.76,412.0,2.730000000000004,176.0
지에스네오텍,54.75,413.0,2.740000000000002,177.0
에스비에스콘텐츠허브,54.73,414.0,2.760000000000005,178.0
서호전기,54.72,415.0,2.770000000000003,179.0
유비쿼스,54.72,415.0,2.770000000000003,179.0
에이치디씨랩스,60.27,215.0,2.780000000000001,180.0
삼보모터스,54.71,416.0,2.780000000000001,180.0
인팩,54.71,416.0,2.780000000000001,180.0
한익스프레스,54.7,417.0,2.789999999999999,181.0
데상트코리아,60.29,214.0,2.799999999999997,182.0
제우스,60.29,214.0,2.799999999999997,182.0
우리금융캐피탈,54.65,418.0,2.8400000000000034,183.0
신한서브,54.65,418.0,2.8400000000000034,183.0
한국생산기술연구원,60.34,213.0,2.8500000000000014,184.0
에스코어,54.61,419.0,2.8800000000000026,185.0
삼화왕관,54.61,419.0,2.8800000000000026,185.0
고영테크놀러지,54.61,419.0,2.8800000000000026,185.0
글로벌스탠다드테크놀로지,54.6,420.0,2.8900000000000006,186.0
애니플러스,54.59,421.0,2.8999999999999986,187.0
다스,54.59,421.0,2.8999999999999986,187.0
한국개발연구원,54.57,422.0,2.9200000000000017,188.0
바바리안모터스,54.57,422.0,2.9200000000000017,188.0
한국인터넷진흥원,54.53,423.0,2.960000000000001,189.0
도로교통공단,60.47,212.0,2.979999999999997,190.0
후니드,54.51,424.0,2.980000000000004,191.0
이도,54.48,425.0,3.010000000000005,192.0
토니모리,54.47,426.0,3.020000000000003,193.0
현대카드,54.45,427.0,3.039999999999999,194.0
원더플레이스 홈플러스 대구성서점,54.45,427.0,3.039999999999999,194.0
멀티캠퍼스,60.55,211.0,3.059999999999995,195.0
한국정보통신,60.57,210.0,3.0799999999999983,196.0
라이나생명보험,54.38,428.0,3.1099999999999994,197.0
윌앤비전,60.6,209.0,3.1099999999999994,197.0
쎌바이오텍,54.36,429.0,3.1300000000000026,198.0
신영증권,60.63,208.0,3.1400000000000006,199.0
아이비커리어,54.34,430.0,3.1499999999999986,200.0
원익아이피에스,60.68,207.0,3.1899999999999977,201.0
제이앤비컨설팅,60.68,207.0,3.1899999999999977,201.0
이트너스,54.3,431.0,3.190000000000005,202.0
엘엑스판토스,60.69,206.0,3.1999999999999957,203.0
KB라이프생명보험,54.27,432.0,3.219999999999999,204.0
한국콜마,54.27,432.0,3.219999999999999,204.0
파수,54.26,433.0,3.230000000000004,205.0
경인양행,54.26,433.0,3.230000000000004,205.0
한국소비자원,54.25,434.0,3.240000000000002,206.0
코나아이,54.24,435.0,3.25,207.0
쁘띠엘린,54.22,436.0,3.270000000000003,208.0
라이온코리아,54.2,437.0,3.289999999999999,209.0
유라코퍼레이션,60.83,205.0,3.3399999999999963,210.0
에스엠코어,54.15,438.0,3.3400000000000034,211.0
도미노피자(청오디피케이),54.11,439.0,3.3800000000000026,212.0
쌍방울,54.1,440.0,3.3900000000000006,213.0
우리에프아이에스,54.06,441.0,3.4299999999999997,214.0
에이치제이중공업,54.06,441.0,3.4299999999999997,214.0
국립암센터,60.92,204.0,3.4299999999999997,214.0
한겨레신문사,54.05,442.0,3.440000000000005,215.0
제로투세븐,54.04,443.0,3.450000000000003,216.0
서한,54.04,443.0,3.450000000000003,216.0
신성통상,60.96,203.0,3.469999999999999,217.0
메타넷디지털,54.01,444.0,3.480000000000004,218.0
지에스홈쇼핑,54.0,445.0,3.490000000000002,219.0
창신아이엔씨,54.0,445.0,3.490000000000002,219.0
한국기계연구원,53.99,446.0,3.5,220.0
한진정보통신,53.99,446.0,3.5,220.0
버킷플레이스,60.99,202.0,3.5,220.0
SK네트웍스,61.02,201.0,3.530000000000001,221.0
케이씨이앤씨,53.96,447.0,3.530000000000001,221.0
탐앤탐스,53.94,448.0,3.5500000000000043,222.0
에이치디현대미포,61.05,200.0,3.559999999999995,223.0
대한산업안전협회,53.93,449.0,3.5600000000000023,224.0
롯데하이마트,53.93,449.0,3.5600000000000023,224.0
티센크루프엘리베이터코리아,53.92,450.0,3.5700000000000003,225.0
피에스앤마케팅,53.9,451.0,3.5900000000000034,226.0
에스비아이저축은행,53.9,451.0,3.5900000000000034,226.0
한국하니웰,53.9,451.0,3.5900000000000034,226.0
영풍전자,53.9,451.0,3.5900000000000034,226.0
롯데멤버스,53.89,452.0,3.6000000000000014,227.0
케이지모빌리언스,53.89,452.0,3.6000000000000014,227.0
현대씨앤알,61.1,199.0,3.6099999999999994,228.0
삼안,53.85,453.0,3.6400000000000006,229.0
씨제이씨지브이,61.13,198.0,3.6400000000000006,229.0
링네트,53.84,454.0,3.6499999999999986,230.0
쎄트렉아이,53.84,454.0,3.6499999999999986,230.0
한진,61.15,197.0,3.6599999999999966,231.0
동부엔지니어링,53.83,455.0,3.6600000000000037,232.0
연합뉴스,53.83,455.0,3.6600000000000037,232.0
팬오션,61.16,196.0,3.6699999999999946,233.0
에이비씨마트코리아,53.81,456.0,3.6799999999999997,234.0
마크로밀엠브레인,53.8,457.0,3.690000000000005,235.0
가온그룹,53.78,458.0,3.710000000000001,236.0
동구바이오제약,53.78,458.0,3.710000000000001,236.0
공무원연금공단,61.21,195.0,3.719999999999999,237.0
한국휴렛팩커드,53.76,459.0,3.730000000000004,238.0
동성케미컬,53.76,459.0,3.730000000000004,238.0
인포뱅크,53.75,460.0,3.740000000000002,239.0
SK플래닛,53.75,460.0,3.740000000000002,239.0
위대한상상,61.26,194.0,3.769999999999996,240.0
참엔지니어링,53.72,461.0,3.770000000000003,241.0
리더스코스메틱,53.71,462.0,3.780000000000001,242.0
유엔젤,53.71,462.0,3.780000000000001,242.0
제주신화월드,53.71,462.0,3.780000000000001,242.0
스탭포유,53.7,463.0,3.789999999999999,243.0
한국생산성본부,53.7,463.0,3.789999999999999,243.0
한국산업안전보건공단,61.29,193.0,3.799999999999997,244.0
케이디비생명보험,53.69,464.0,3.8000000000000043,245.0
선인자동차,53.68,465.0,3.8100000000000023,246.0
윌로펌프,53.68,465.0,3.8100000000000023,246.0
캐논쎄미콘덕터엔지니어링코리아,53.68,465.0,3.8100000000000023,246.0
지아이티,61.31,192.0,3.8200000000000003,247.0
씨티알,53.67,466.0,3.8200000000000003,247.0
사람인에이치에스,53.66,467.0,3.8300000000000054,248.0
씨젠,61.33,191.0,3.8399999999999963,249.0
케이비국민카드,61.34,190.0,3.8500000000000014,250.0
넷마블에프앤씨,53.59,468.0,3.8999999999999986,251.0
엘아이지넥스원,53.58,469.0,3.9100000000000037,252.0
에이치엔씨네트워크,53.57,470.0,3.9200000000000017,253.0
아미코스메틱,53.56,471.0,3.9299999999999997,254.0
롯데카드,53.55,472.0,3.940000000000005,255.0
이니텍,53.53,473.0,3.960000000000001,256.0
동호에이치알,61.48,189.0,3.989999999999995,257.0
아이비케이투자증권,53.49,474.0,4.0,258.0
지니언스,53.48,475.0,4.010000000000005,259.0
지에스씨인터내셔날,53.46,476.0,4.030000000000001,260.0
미스터블루,53.45,477.0,4.039999999999999,261.0
타이드스퀘어,53.45,477.0,4.039999999999999,261.0
파이오링크,53.45,477.0,4.039999999999999,261.0
지니뮤직,61.53,188.0,4.039999999999999,261.0
호전실업,53.44,478.0,4.050000000000004,262.0
교보문고,61.59,187.0,4.100000000000001,263.0
한화오션,61.61,186.0,4.119999999999997,264.0
신원,61.61,186.0,4.119999999999997,264.0
수협은행,53.35,479.0,4.140000000000001,265.0
로보스타,53.35,479.0,4.140000000000001,265.0
한국세라믹기술원,53.35,479.0,4.140000000000001,265.0
그린웹서비스,53.34,480.0,4.149999999999999,266.0
좋은사람들,53.34,480.0,4.149999999999999,266.0
차케어스,53.34,480.0,4.149999999999999,266.0
한국전기안전공사,61.65,185.0,4.159999999999997,267.0
신라에이치엠,61.65,185.0,4.159999999999997,267.0
팜젠사이언스,53.33,481.0,4.160000000000004,268.0
아이디헬스케어그룹,53.33,481.0,4.160000000000004,268.0
한국항공우주연구원,61.66,184.0,4.169999999999995,269.0
위메이드,61.66,184.0,4.169999999999995,269.0
한국증권금융,61.67,183.0,4.18,270.0
현대에이치티,53.28,482.0,4.210000000000001,271.0
유한회사 스태츠칩팩코리아,61.7,182.0,4.210000000000001,271.0
수산업협동조합중앙회,53.27,483.0,4.219999999999999,272.0
우성,53.27,483.0,4.219999999999999,272.0
투믹스,53.26,484.0,4.230000000000004,273.0
한국야금,53.24,485.0,4.25,274.0
한국문화예술위원회,53.24,485.0,4.25,274.0
유라클,53.24,485.0,4.25,274.0
D&O,61.74,181.0,4.25,274.0
에이치비테크놀러지,53.23,486.0,4.260000000000005,275.0
매일경제신문사,53.23,486.0,4.260000000000005,275.0
원익피앤이,53.22,487.0,4.270000000000003,276.0
휴네시온,53.2,488.0,4.289999999999999,277.0
시스윈로보틱스,53.16,489.0,4.330000000000005,278.0
구글코리아(유),61.83,180.0,4.339999999999996,279.0
코오롱베니트,53.15,490.0,4.340000000000003,280.0
삼양데이타시스템,53.14,491.0,4.350000000000001,281.0
한국미쓰비시전기오토메이션,53.13,492.0,4.359999999999999,282.0
아이아이컴바인드,61.86,179.0,4.369999999999997,283.0
통로이미지,53.12,493.0,4.3700000000000045,284.0
케이티스카이라이프,53.12,493.0,4.3700000000000045,284.0
한세드림,53.08,494.0,4.410000000000004,285.0
하나로티앤에스,53.08,494.0,4.410000000000004,285.0
국토안전관리원,53.08,494.0,4.410000000000004,285.0
엔디에스,53.07,495.0,4.420000000000002,286.0
애드민,61.93,178.0,4.439999999999998,287.0
성주디앤디,53.05,496.0,4.440000000000005,288.0
이트라이브,53.03,497.0,4.460000000000001,289.0
에이치엘디앤아이한라,53.03,497.0,4.460000000000001,289.0
티맥스소프트,61.95,177.0,4.460000000000001,289.0
플래티어,53.0,498.0,4.490000000000002,290.0
한국재정정보원,53.0,498.0,4.490000000000002,290.0
토비스,52.99,499.0,4.5,291.0
푸본현대생명보험,52.98,500.0,4.510000000000005,292.0
천재교육,62.02,176.0,4.530000000000001,293.0
안랩,62.03,175.0,4.539999999999999,294.0
코레일네트웍스,52.94,501.0,4.550000000000004,295.0
오로라월드,52.93,502.0,4.560000000000002,296.0
가연결혼정보,52.91,503.0,4.580000000000005,297.0
케이원정보통신,52.91,503.0,4.580000000000005,297.0
네패스,52.86,504.0,4.630000000000003,298.0
위니아딤채,52.86,504.0,4.630000000000003,298.0
자화전자,52.85,505.0,4.640000000000001,299.0
엘지디스플레이,62.13,174.0,4.640000000000001,299.0
롯데이노베이트,62.13,174.0,4.640000000000001,299.0
한국마이크로소프트,52.83,506.0,4.660000000000004,300.0
대한적십자사,62.16,173.0,4.669999999999995,301.0
케이지모빌리티,62.17,172.0,4.68,302.0
에어부산,62.17,172.0,4.68,302.0
경동엔지니어링,52.78,507.0,4.710000000000001,303.0
디알텍,52.74,508.0,4.75,304.0
데브시스터즈,62.26,171.0,4.769999999999996,305.0
굿리치,52.69,509.0,4.800000000000004,306.0
롯데쇼핑 e커머스사업본부,52.68,510.0,4.810000000000002,307.0
프레인글로벌,52.68,510.0,4.810000000000002,307.0
진인프라,52.68,510.0,4.810000000000002,307.0
넥센,52.67,511.0,4.82,308.0
써모피셔사이언티픽코리아,62.32,170.0,4.829999999999998,309.0
금호타이어,62.32,170.0,4.829999999999998,309.0
메이크인,52.65,512.0,4.840000000000003,310.0
머큐리,52.63,513.0,4.859999999999999,311.0
아이파킹,52.63,513.0,4.859999999999999,311.0
아모텍,62.36,169.0,4.869999999999997,312.0
DSR,52.62,514.0,4.8700000000000045,313.0
엘에스엠트론,62.37,168.0,4.8799999999999955,314.0
다스카손해사정화재해상,52.6,515.0,4.890000000000001,315.0
아모제푸드,52.6,515.0,4.890000000000001,315.0
메가스터디교육,62.38,167.0,4.890000000000001,315.0
아이엠뱅크,62.39,166.0,4.899999999999999,316.0
영풍,52.59,516.0,4.899999999999999,316.0
투쿨포스쿨,52.58,517.0,4.910000000000004,317.0
휴스틸,52.57,518.0,4.920000000000002,318.0
디파이,52.57,518.0,4.920000000000002,318.0
자이언트스텝,52.53,519.0,4.960000000000001,319.0
엑스엘게임즈,52.53,519.0,4.960000000000001,319.0
인터비즈시스템,62.45,165.0,4.960000000000001,319.0
에스넷시스템,52.51,520.0,4.980000000000004,320.0
지에이코리아,52.5,521.0,4.990000000000002,321.0
메디톡스,62.49,164.0,5.0,322.0
에이케이플라자,52.49,522.0,5.0,322.0
아데코코리아,62.51,163.0,5.019999999999996,323.0
에스에프에이,62.52,162.0,5.030000000000001,324.0
다올투자증권,62.52,162.0,5.030000000000001,324.0
한국아이비엠,52.45,523.0,5.039999999999999,325.0
메디포스트,52.44,524.0,5.050000000000004,326.0
웰크론,52.44,524.0,5.050000000000004,326.0
국제방송교류재단,52.42,525.0,5.07,327.0
삼일제약,52.42,525.0,5.07,327.0
삼성제약,52.42,525.0,5.07,327.0
대홍기획,52.39,526.0,5.100000000000001,328.0
동화세상에듀코,52.39,526.0,5.100000000000001,328.0
청호나이스,52.37,527.0,5.1200000000000045,329.0
에스씨케이컴퍼니,62.62,161.0,5.1299999999999955,330.0
삼구아이앤씨,62.65,160.0,5.159999999999997,331.0
엑셈,52.33,528.0,5.160000000000004,332.0
엠로,52.31,529.0,5.18,333.0
한국알프스,52.31,529.0,5.18,333.0
네슬레코리아(유),52.26,530.0,5.230000000000004,334.0
현대차증권,62.73,159.0,5.239999999999995,335.0
싸이버로지텍,52.24,531.0,5.25,336.0
